Full_NM,용수시설개수,화재발생횟수,time,TIME_UNIT_WS,TIME_UNIT_WD,SPT_FRSTT_DIST,배관깊이,출수압력,배관지름,EMD_NM,SGG_NM,총인구수 (명)
양양군 현남면,34,23,9.0,2.0434782608695654,123.47826086956522,22.333333333333332,1.4205882352941175,4.644117647058824,74.26470588235294,현남면,양양군,2953
춘천시 근화동,33,15,5.0,1.2666666666666666,144.0,4.2,0.8424242424242424,5.703030303030303,96.21212121212122,근화동,춘천시,8371
춘천시 동산면,33,27,12.0,2.2222222222222223,205.92592592592592,21.545454545454547,0.796969696969697,4.306060606060606,99.24242424242425,동산면,춘천시,1451
정선군 북평면,32,8,6.0,3.125,112.5,11.857142857142858,1.1,4.165625,99.21875,북평면,정선군,2493
영월군 주천면,32,16,9.0,1.375,138.75,31.071428571428573,1.03125,3.328125,66.09375,주천면,영월군,3731
원주시 학성동,32,10,4.0,1.7,181.0,6.166666666666667,1.00625,4.26875,100.0,학성동,원주시,4625
홍천군 서석면,31,19,12.0,1.368421052631579,167.3684210526316,34.888888888888886,0.9935483870967742,5.116129032258065,100.0,서석면,홍천군,3728
철원군 서면,31,25,6.0,1.6,184.8,15.8125,1.2,3.1451612903225805,100.0,서면,철원군,1800
횡성군 공근면,31,23,9.0,3.5652173913043477,184.34782608695653,13.166666666666666,0.6483870967741936,4.887096774193548,65.0,공근면,횡성군,3467
동해시 송정동,30,17,8.0,2.0588235294117645,170.0,4.0,0.5,5.89,99.33333333333333,송정동,동해시,3701
홍천군 북방면,30,25,8.0,1.36,158.8,11.238095238095237,0.9533333333333334,4.241666666666666,100.0,북방면,홍천군,3969
원주시 봉산동,29,12,5.0,1.8333333333333333,145.83333333333334,3.625,0.9482758620689655,4.220689655172414,100.0,봉산동,원주시,7838
강릉시 연곡면,29,35,9.0,1.7714285714285714,164.28571428571428,18.863636363636363,1.0793103448275863,5.3,100.0,연곡면,강릉시,6337
양양군 손양면,28,13,10.0,2.0,179.23076923076923,5.7,1.467857142857143,4.525,65.0,손양면,양양군,2283
삼척시 근덕면,28,27,13.0,1.037037037037037,165.55555555555554,17.266666666666666,1.5,4.557142857142857,87.5,근덕면,삼척시,5034
원주시 신림면,27,25,8.0,1.4,138.8,23.85,0.7925925925925925,3.7962962962962963,100.0,신림면,원주시,3556
정선군 사북읍,27,14,5.5,1.7857142857142858,187.85714285714286,31.625,0.8666666666666666,4.092592592592593,65.0,사북읍,정선군,4621
원주시 소초면,27,42,7.0,1.4761904761904763,196.42857142857142,14.216216216216216,1.0,4.192592592592593,100.0,소초면,원주시,8417
원주시 개운동,27,11,3.0,1.4545454545454546,221.8181818181818,3.5,0.7407407407407407,3.7370370370370374,100.0,개운동,원주시,12724
강릉시 홍제동,27,26,4.0,1.4615384615384615,254.23076923076923,2.4444444444444446,1.0074074074074073,3.925925925925926,100.0,홍제동,강릉시,15173
양양군 현북면,27,14,10.0,1.9285714285714286,196.42857142857142,13.142857142857142,1.377777777777778,4.45925925925926,79.25925925925925,현북면,양양군,2609
정선군 여량면,26,8,13.0,1.375,176.25,24.0,1.2961538461538462,3.8230769230769233,100.0,여량면,정선군,1972
원주시 우산동,26,14,3.0,1.1428571428571428,135.71428571428572,7.428571428571429,1.0153846153846153,5.634615384615385,100.0,우산동,원주시,13498
원주시 일산동,25,7,3.0,2.0,160.0,4.25,1.032,3.5439999999999996,100.0,일산동,원주시,8595
원주시 중앙동,25,8,3.5,1.25,241.25,4.0,0.904,4.232,100.0,중앙동,원주시,2502
원주시 행구동,24,11,5.0,1.0,244.54545454545453,2.875,0.9,4.154166666666667,100.0,행구동,원주시,7785
철원군 철원읍,24,21,8.0,2.3333333333333335,174.76190476190476,17.53846153846154,1.2,3.5375,100.0,철원읍,철원군,5222
영월군 한반도면,24,12,9.0,1.5,122.5,17.9,1.0,3.3208333333333333,65.0,한반도면,영월군,1208
춘천시 교동,23,7,5.0,2.4285714285714284,144.28571428571428,2.142857142857143,0.9,4.756521739130435,96.95652173913044,교동,춘천시,3548
영월군 상동읍,23,4,9.0,1.0,112.5,44.333333333333336,1.891304347826087,5.747826086956521,65.0,상동읍,영월군,1012
양양군 서면,23,13,10.0,2.1538461538461537,161.53846153846155,11.4,1.3478260869565217,4.673913043478261,65.0,서면,양양군,2792
동해시 부곡동,23,23,6.0,2.782608695652174,186.95652173913044,7.888888888888889,0.7152173913043478,4.021739130434782,70.65217391304348,부곡동,동해시,4928
정선군 남면,23,14,11.5,1.7857142857142858,105.71428571428571,22.25,0.5782608695652174,3.895652173913043,65.0,남면,정선군,3167
삼척시 남양동,22,38,4.0,1.4736842105263157,180.52631578947367,1.5,1.5,3.563636363636364,100.0,남양동,삼척시,7277
춘천시 사북면,22,9,15.0,1.2222222222222223,147.77777777777777,25.125,0.9818181818181819,3.4909090909090907,98.86363636363636,사북면,춘천시,2493
평창군 방림면,21,13,9.0,2.1538461538461537,160.0,18.75,1.8571428571428572,4.314285714285714,100.0,방림면,평창군,857
인제군 상남면,21,9,6.0,1.5555555555555556,181.11111111111111,45.166666666666664,1.5,3.90952380952381,98.33333333333333,상남면,인제군,2023
화천군 상서면,21,12,13.0,2.6666666666666665,237.5,16.4,0.8095238095238095,3.3523809523809525,100.0,상서면,화천군,4070
철원군 김화읍,21,12,6.5,1.4166666666666667,135.83333333333334,11.6,1.2,3.2666666666666666,100.0,김화읍,철원군,3397
정선군 임계면,20,15,11.0,1.3333333333333333,143.33333333333334,42.25,1.305,4.225,100.0,임계면,정선군,3465
태백시 철암동,19,5,7.0,2.8,182.0,10.75,0.7131578947368421,4.889473684210526,100.0,철암동,태백시,1970
평창군 미탄면,19,9,3.0,2.888888888888889,173.33333333333334,15.142857142857142,1.5,3.326315789473684,100.0,미탄면,평창군,1623
원주시 흥업면,19,25,8.0,1.36,168.0,12.782608695652174,0.7315789473684211,5.589473684210526,100.0,흥업면,원주시,9376
원주시 호저면,19,22,8.5,1.4545454545454546,165.9090909090909,16.0,0.9526315789473685,6.568421052631579,100.0,호저면,원주시,3648
삼척시 교동,19,32,4.0,1.1875,88.125,1.7777777777777777,1.5,4.878947368421053,100.0,교동,삼척시,15611
횡성군 서원면,19,12,10.0,2.1666666666666665,186.66666666666666,23.272727272727273,1.0736842105263158,4.536842105263158,65.0,서원면,횡성군,2078
홍천군 서면,18,28,12.5,1.7857142857142858,225.71428571428572,38.2,1.011111111111111,3.9833333333333334,100.0,서면,홍천군,3801
화천군 사내면,18,22,6.5,1.9090909090909092,174.0909090909091,31.5,1.0833333333333333,4.144444444444444,100.0,사내면,화천군,6199
속초시 동명동,18,11,4.0,1.3636363636363635,171.8181818181818,4.0,1.0333333333333334,4.444444444444445,100.0,동명동,속초시,3513
횡성군 갑천면,18,15,12.0,3.7333333333333334,226.66666666666666,19.272727272727273,1.0,5.283333333333333,65.0,갑천면,횡성군,2440
양구군 해안면,17,14,5.0,1.5714285714285714,222.85714285714286,31.0,0.9882352941176471,4.476470588235294,100.0,해안면,양구군,1249
평창군 용평면,17,12,10.0,4.166666666666667,182.5,31.363636363636363,1.3941176470588235,3.1705882352941175,100.0,용평면,평창군,3079
강릉시 옥천동,16,22,3.0,1.2727272727272727,231.36363636363637,4.2,0.99375,4.425,100.0,옥천동,강릉시,3361
홍천군 화촌면,16,21,8.0,1.7142857142857142,211.9047619047619,13.461538461538462,1.10625,3.23125,100.0,화촌면,홍천군,4516
홍천군 두촌면,15,10,8.5,1.1,153.0,35.22222222222222,1.3266666666666667,3.3866666666666663,100.0,두촌면,홍천군,2425
속초시 영랑동,15,10,4.0,3.1,260.0,4.166666666666667,1.0,4.733333333333333,100.0,영랑동,속초시,4426
원주시 판부면,14,14,7.0,1.0714285714285714,135.71428571428572,8.3125,0.9071428571428571,3.564285714285714,100.0,판부면,원주시,7316
홍천군 내면,14,5,14.0,1.4,110.0,68.2,1.0,2.8214285714285716,100.0,내면,홍천군,3112
동해시 망상동,14,4,8.5,2.0,205.0,17.333333333333332,0.5071428571428571,5.928571428571429,75.0,망상동,동해시,3451
횡성군 강림면,14,1,13.0,2.0,230.0,27.0,1.1285714285714286,4.571428571428571,65.0,강림면,횡성군,1756
영월군 북면,14,12,5.5,1.5,166.66666666666666,15.5,1.0357142857142858,4.078571428571428,100.0,북면,영월군,2069
양구군 동면,13,19,8.0,1.6842105263157894,198.42105263157896,18.25,0.8153846153846154,4.046153846153846,100.0,동면,양구군,2037
영월군 남면,13,12,11.0,2.0833333333333335,175.0,11.125,1.0,4.515384615384615,100.0,남면,영월군,2212
속초시 금호동,13,6,5.0,2.0,168.33333333333334,3.25,1.0153846153846153,4.061538461538461,100.0,금호동,속초시,6026
양구군 방산면,13,10,12.5,1.3,139.0,21.0,0.9615384615384616,4.076923076923077,100.0,방산면,양구군,1272
삼척시 미로면,13,11,8.0,1.0,74.54545454545455,14.833333333333334,1.5,3.4923076923076923,95.38461538461539,미로면,삼척시,1802
원주시 부론면,11,23,10.0,1.391304347826087,216.52173913043478,35.55555555555556,0.3,5.909090909090909,100.0,부론면,원주시,2227
정선군 화암면,11,6,10.0,1.3333333333333333,195.0,21.0,0.9272727272727272,4.809090909090909,100.0,화암면,정선군,1628
원주시 귀래면,11,6,7.0,1.3333333333333333,155.0,23.5,0.9545454545454546,4.409090909090909,100.0,귀래면,원주시,2164
영월군 김삿갓면,9,5,11.0,1.0,162.0,19.666666666666668,1.5555555555555556,4.611111111111111,65.0,김삿갓면,영월군,1734
화천군 하남면,9,12,13.5,2.25,172.5,8.23076923076923,1.2000000000000002,4.277777777777778,100.0,하남면,화천군,2856
속초시 청호동,9,8,5.5,2.625,193.75,4.5,1.0,5.188888888888889,100.0,청호동,속초시,4967
동해시 삼화동,9,7,5.0,1.5714285714285714,272.85714285714283,8.0,5.333333333333333,4.666666666666667,72.22222222222223,삼화동,동해시,2760
강릉시 내곡동,8,16,4.0,2.75,136.25,3.6,1.0625,4.8375,100.0,내곡동,강릉시,16376
화천군 간동면,6,16,9.0,2.125,256.875,18.916666666666668,1.0666666666666667,3.3333333333333335,100.0,간동면,화천군,2656
강릉시 초당동,6,4,5.0,1.5,245.0,7.75,1.1833333333333333,3.733333333333333,100.0,초당동,강릉시,4714
춘천시 북산면,5,8,17.0,2.0,155.0,31.4,0.9400000000000001,5.3,100.0,북산면,춘천시,969
강릉시 왕산면,5,19,16.0,2.263157894736842,148.42105263157896,25.928571428571427,0.8,4.1,100.0,왕산면,강릉시,1583
철원군 근남면,5,18,11.0,1.8888888888888888,174.44444444444446,21.46153846153846,1.2,3.4799999999999995,100.0,근남면,철원군,2154
홍천군 내촌면,4,14,9.5,1.5714285714285714,177.85714285714286,31.125,0.775,3.425,100.0,내촌면,홍천군,2412
삼척시 노곡면,1,11,9.0,1.9090909090909092,190.9090909090909,22.25,1.5,4.0,100.0,노곡면,삼척시,711
삼척시 하장면,1,9,5.0,1.2222222222222223,122.22222222222223,52.666666666666664,1.5,3.0,70.0,하장면,삼척시,1283
